id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd00095	dhap	Glycerone-phosphate	C3H5O6P	169	Primary Database	GNGACRATGGDKBX-UHFFFAOYSA-L	-2	1	0	null	0	-261.59	0.14	1:1:13.80;1:4:16.69;1:7:1.19;1:8:6.22	1:1:-3.32;1:9:-8.44	null	null	Name: 3-hydroxy-2-oxopropyl phosphate; DHAP; Dihydroxyacetone phosphate; Dihydroxyacetonephosphate; Glycerone phosphate; di-OH-acetone-P; dihydroxy-acetone phosphate; dihydroxy-acetone-phosphate; dihydroxyacetone 3-phosphate; dihydroxyacetone phosphate; dihydroxyacetone-P; dihydroxyacetone-phosphate; glycerone phosphate; glycerone-phosphate|AraCyc: DIHYDROXY-ACETONE-PHOSPHATE|BiGG: dhap|BrachyCyc: DIHYDROXY-ACETONE-PHOSPHATE|KEGG: C00111|MetaCyc: DIHYDROXY-ACETONE-PHOSPHATE	O=C(CO)COP(=O)([O-])[O-]	GC|EQ|EQU
cpd00102	g3p	Glyceraldehyde3-phosphate	C3H5O6P	169	Primary Database	LXJXRIRHZLFYRP-VKHMYHEASA-L	-2	1	0	null	0	-260.28	0.16	1:6:12.86;1:8:1.40;1:10:6.42	1:1:-7.63;1:6:-3.76	null	null	Name: (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; (2R)-2-hydroxy-3-(phosphonooxy)-propanal; (2R)-2-hydroxy-3-(phosphooxy)-propanal; 3-phosphoglyceraldehyde; D-Glyceraldehyde 3-phosphate; D-glyceraldehyde 3-phosphate; D-glyceraldehyde-3-P; D-glyceraldehyde-3-phosphate; GAP; Glyceraldehyde 3-phosphate; Glyceraldehyde-3-phosphate; Glyceraldehyde3-phosphate; gap; glyceraldehyde 3-phosphate; glyceraldehyde-3-P; glyceraldehyde-P; glyceraldehyde-phosphate; triose phosphate|AraCyc: GAP|BiGG: g3p|BrachyCyc: GAP|KEGG: C00118|MetaCyc: GAP	O=C[C@H](O)COP(=O)([O-])[O-]	GC|EQ|EQU
cpd00003	nad	NAD	C21H26N7O14P2	662	Primary Database	BAWFJGJZGIEFAR-NNYOXOHSSA-M	-1	1	0	null	0	-286.41	1.59	1:6:11.94;1:17:1.85;1:18:2.28;1:25:11.38;1:35:12.70	1:6:-4.22;1:35:-3.85;1:37:-1.05;1:41:4.93;1:43:-7.46	null	null	Name: DPN; DPN+; DPN-ox; Diphosphopyridine nucleotide; NAD; NAD+; NAD-ox; NAD-oxidized; Nadide; Nicotinamide adenine dinucleotide; Nicotinamideadeninedinucleotide; beta-NAD+; beta-nicotinamide adenine dinucleotide; coenzyme I; diphosphopyridine nucleotide; diphosphopyridine nucleotide oxidized; nicotinamide adenine dinucleotide; nicotinamide adenine dinucleotide oxidized|AraCyc: NAD|BiGG: nad|BrachyCyc: NAD|KEGG: C00003|MetaCyc: NAD	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	GC|EQ|EQU
cpd00004	nadh	NADH	C21H27N7O14P2	663	Primary Database	BOPGDPNILDQYTO-NNYOXOHSSA-L	-2	1	0	null	0	-271.15	1.59	1:14:12.28;1:18:14.00;1:22:-7.46;1:26:-1.05;1:36:12.90	1:6:2.28;1:9:1.85;1:14:-3.85;1:15:4.93;1:18:-3.67;1:36:-3.78	null	null	Name: DPNH; NAD-reduced; NADH; NADH+H+; NADH2; Nicotinamide adenine dinucleotide - reduced; Nicotinamideadeninedinucleotide-reduced; Reduced nicotinamide adenine dinucleotide; beta-NADH; dihydrodiphosphopyridine nucleotide; dihydronicotinamide adenine dinucleotide; diphosphopyridine nucleotide reduced; nicotinamide adenine dinucleotide reduced|AraCyc: NADH|BiGG: nadh|BrachyCyc: NADH|KEGG: C00004|MetaCyc: NADH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	GC|EQ|EQU
cpd00203	13dpg	"1,3-Bisphospho-D-glycerate"	C3H4O10P2	264	Primary Database	LJQLQCAXBUHEAZ-UWTATZPHSA-J	-4	1	0	null	0	-526.8	0.26	1:3:1.61;1:4:6.64;1:10:11.96;1:13:1.01;1:14:6.04	1:8:-7.80;1:10:-4.19	null	null	"Name: (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid; 1,3-Bisphospho-D-glycerate; 1,3-bisphospho-D-glycerate; 13-DPG; 3-P-glyceroyl-P; 3-Phospho-D-glyceroyl phosphate; 3-Phospho-D-glyceroylphosphate; 3-phospho-D-glyceroyl-phosphate; 3-phospho-d-glyceroyl-phosphate; 3-phosphoglyceroyl-P; 3-phosphoglyceroyl-phosphate; 3-phosphonato-D-glyceroyl phosphate; D-Glycerate 1,3-diphosphate; P-glyceroyl-P; glycerate 1,3-bisphosphate; phosphoglyceroyl-P|AraCyc: DPG|BiGG: 13dpg|BrachyCyc: DPG|KEGG: C00236|MetaCyc: DPG"	O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-]	GC|EQ|EQU
cpd00169	3pg	3-Phosphoglycerate	C3H4O7P	184	Primary Database	OSJPPGNTCRNQQC-UWTATZPHSA-K	-3	1	0	null	0	-322.41	0.19	1:3:1.30;1:4:6.48;1:9:13.53;1:10:3.49	1:9:-4.15	null	null	Name: 3-P-D-glycerate; 3-Phospho-(R)-glycerate; 3-Phospho-D-glycerate; 3-Phosphoglycerate; 3-phospho-(R)-glycerate; 3-phospho-D-glycerate; 3-phospho-D-glyceric acid; 3-phosphoglycerate; D-3-phosphoglycerate; D-Glycerate 3-phosphate; D-glycerate 3-phosphate; D-glycerate-3-P; Glycerate 3-phosphate|AraCyc: G3P|BiGG: 3pg|BrachyCyc: G3P|KEGG: C00197|MetaCyc: G3P	O=C([O-])[C@H](O)COP(=O)([O-])[O-]	GC|EQ|EQU
cpd00482	2pg	2-Phospho-D-glycerate	C3H4O7P	184	Primary Database	GXIURPTVHJPJLF-UWTATZPHSA-K	-3	1	0	null	0	-321.41	0.2	1:3:0.81;1:4:6.00;1:6:19.27;1:9:3.48;1:11:14.73	1:11:-3.06	null	null	Name: 2-P-D-glycerate; 2-Phospho-(R)-glycerate; 2-Phospho-D-glycerate; 2-phospho-(D)-glycerate; 2-phospho-(R)-glycerate; 2-phospho-D-glycerate; 2-phospho-D-glyceric acid; D-2-phosphoglycerate; D-Glycerate 2-phosphate; D-Glycerate2-phosphate|AraCyc: 2-PG|BiGG: 2pg|BrachyCyc: 2-PG|KEGG: C00631|MetaCyc: 2-PG	O=C([O-])[C@@H](CO)OP(=O)([O-])[O-]	GC|EQ|EQU
cpd01022	lac-R	Lactate	C3H5O3	89	Primary Database	JVTAAEKCZFNVCJ-UHFFFAOYSA-M	-1	1	0	null	0	-73.26	0.21	1:4:14.59;1:5:3.78	1:4:-3.67	null	null	Name: 2-Hydroxypropanoic acid; 2-Hydroxypropionic acid; Lactate; Lactic acid|KEGG: C01432|MetaCyc: Lactate|TS_Athaliana: met940_c|iAG612: cbs_394|iIN800: lac-R	CC(O)C(=O)[O-]	GC|EQ|EQU
cpd11620	fdxrd	Reducedferredoxin	Fe2R4S6	308	Primary Database		4	1	0	null	0	10000000	10000000			null	null	Name: Reduced ferredoxin; Reducedferredoxin|AlgaGEM: S_Reduced_32_ferredoxin_c; S_Reduced_32_ferredoxin_p|AraGEM: S_Reduced_32_ferredoxin_c; S_Reduced_32_ferredoxin_m; S_Reduced_32_ferredoxin_p|BiGG: fdxrd|JM_Creinhardtii: RFer; RFer_c; RFer_m|KEGG: C00138		null
cpd11621	fdxox	Oxidizedferredoxin	Fe2R4S6	308	Primary Database		6	1	0	null	0	10000000	10000000			null	null	Name: Oxidized ferredoxin; Oxidizedferredoxin|AlgaGEM: S_Oxidized_32_ferredoxin_c; S_Oxidized_32_ferredoxin_p|AraGEM: S_Oxidized_32_ferredoxin_c; S_Oxidized_32_ferredoxin_m; S_Oxidized_32_ferredoxin_p|BiGG: fdxox|JM_Creinhardtii: OFer; OFer_c; OFer_m|KEGG: C00139		null
cpd00010	coa	CoA	C21H32N7O16P3S	764	Primary Database	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	-4	1	0	null	0	-429.53	1.87	1:22:0.92;1:23:5.94;1:26:0.83;1:30:3.27;1:48:10.07	1:8:-7.46;1:9:-1.06;1:17:4.89	null	null	Name: CoA; CoA-SH; Coenzyme A; CoenzymeA; Coenzyme_a; HS-CoA; co-A; co-A-SH; co-enzyme-A; coenzyme A|AraCyc: CO-A|BiGG: coa|BrachyCyc: CO-A|KEGG: C00010|MetaCyc: CO-A	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	GC|EQ|EQU
cpd00011	co2	CO2	CO2	44	Primary Database	CURLTUGMZLYLDI-UHFFFAOYSA-N	0	1	0	null	0	-92.26	0.71			null	null	Name: CO2; Carbon dioxide; carbon dioxide; carbonic acid gas; carbonic anhydride|AraCyc: CARBON-DIOXIDE|BiGG: co2|BrachyCyc: CARBON-DIOXIDE|KEGG: C00011|MetaCyc: CARBON-DIOXIDE	O=C=O	GC|EQ|EQU
cpd00011_e	co2_e	CO2	CO2	44	Primary Database	CURLTUGMZLYLDI-UHFFFAOYSA-N	0	1	0	null	0	-92.26	0.71			null	null	Name: CO2; Carbon dioxide; carbon dioxide; carbonic acid gas; carbonic anhydride|AraCyc: CARBON-DIOXIDE|BiGG: co2|BrachyCyc: CARBON-DIOXIDE|KEGG: C00011|MetaCyc: CARBON-DIOXIDE	O=C=O	GC|EQ|EQU
cpd00022	accoa	Acetyl-CoA	C23H34N7O17P3S	806	Primary Database	ZSLZBFCDCINBPY-ZSJPKINUSA-J	-4	1	0	null	0	-443.56	1.86	1:24:3.27;1:31:12.61;1:34:0.92;1:35:5.94;1:49:0.83	1:31:-3.87;1:41:-1.06;1:43:4.89;1:45:-7.46	null	null	Name: Acetyl coenzyme A; Acetyl-CoA; ac-CoA; ac-S-CoA; acetyl coenzyme-A; acetyl-CoA; acetyl-S-CoA; acetylcoenzyme-A|AraCyc: ACETYL-COA|BiGG: accoa|BrachyCyc: ACETYL-COA|KEGG: C00024|MetaCyc: ACETYL-COA	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC|EQ|EQU
cpd00018	amp	AMP	C10H12N5O7P	346	Primary Database	UDMBCSSLTHHNCD-KQYNXXCUSA-L	-2	1	0	null	0	-130.8	0.29	1:14:12.46;1:16:18.54;1:18:13.98;1:21:1.23;1:22:6.27	1:6:-7.46;1:9:-1.05;1:14:-3.85;1:15:3.92;1:16:-6.38;1:18:-3.67	null	null	Name: 5'-AMP; 5'-Adenosine monophosphate; 5'-Adenylic acid; 5'-adenosine monophosphate; 5'-adenylic acid; AMP; Adenosine 5'-monophosphate; Adenosine 5'-phosphate; Adenylate; Adenylic acid; adenosine 5'-monophosphate; adenosine 5'-phosphate; adenosine-5'-phosphate; adenosine-monophosphate; adenosine-phosphate; adenylate; adenylic acid|AraCyc: AMP|BiGG: amp|BrachyCyc: AMP|KEGG: C00020|MetaCyc: AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd11640	h2	H2	H2	2	Primary Database	UFHFLCQGNIYNRP-UHFFFAOYSA-N	0	1	0	null	0	23.69	0.71			null	null	Name: H2; Hydrogen; dihydrogen; hydrogen; hydrogen molecule|BiGG: h2|BrachyCyc: HYDROGEN-MOLECULE|ChlamyCyc: HYDROGEN-MOLECULE|KEGG: C00282|MetaCyc: HYDROGEN-MOLECULE	[H][H]	GC|EQ|EQU
cpd11640_e	h2_e	H2	H2	2	Primary Database	UFHFLCQGNIYNRP-UHFFFAOYSA-N	0	1	0	null	0	23.69	0.71			null	null	Name: H2; Hydrogen; dihydrogen; hydrogen; hydrogen molecule|BiGG: h2|BrachyCyc: HYDROGEN-MOLECULE|ChlamyCyc: HYDROGEN-MOLECULE|KEGG: C00282|MetaCyc: HYDROGEN-MOLECULE	[H][H]	GC|EQ|EQU
cbh0003	biomass	biomass																		
cpd00047	for	Formate	CHO2	45	Primary Database	BDAGIHXWWSANSR-UHFFFAOYSA-M	-1	1	0	null	0	-73.47	0.33	1:2:4.27		null	null	Name: FORM; Formate; Formic acid; Methanoic acid; formate; formic acid|AraCyc: FORMATE|BiGG: for|BrachyCyc: FORMATE|KEGG: C00058|MetaCyc: FORMATE	O=C[O-]	GC|EQ|EQU
cpd00005	nadph	NADPH	C21H26N7O17P3	742	Primary Database	ACFIXJIJDZMPPO-NNYOXOHSSA-J	-4	1	0	null	0	-483.1	1.62	1:18:0.90;1:19:5.78;1:26:0.66;1:30:3.26;1:40:12.75	1:11:-7.46;1:12:-1.06;1:22:4.87;1:40:-3.78	null	null	Name: NADP(H); NADP-red; NADP-reduced; NADPH; NADPH+H+; NADPH2; Nicotinamide adenine dinucleotide phosphate - reduced; Nicotinamide adenine dinucleotide phosphate-reduced; Nicotinamideadeninedinucleotidephosphate-reduced; Reduced nicotinamide adenine dinucleotide phosphate; TPNH; beta-NADPH; dihydronicotinamide adenine dinucleotide phosphate; dihydronicotinamide adenine dinucleotide phosphate reduced; dihydronicotinamide adenine dinucleotide-P; dihydrotriphosphopyridine nucleotide; dihydrotriphosphopyridine nucleotide reduced; reduced NADP; reduced dihydrotriphosphopyridine nucleotide; reduced nicotinamide adenine dinucleotide phosphate|AraCyc: NADPH|BiGG: nadph|BrachyCyc: NADPH|KEGG: C00005|MetaCyc: NADPH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	GC|EQ|EQU
