ID	Name	Aliases	reactants	products
rbh0007_c	Glucose-6-phosphate isomerase	EC 5.3.1.9	ebh0007_b:1	"cpd00072:1,ebh0007_a:1"	(1) PGI(conj) => (1) f6p + (1) PGI(free)
rbh0007_d	Glucose-6-phosphate isomerase	EC 5.3.1.9	"cpd00072:1,ebh0007_a:1"	ebh0007_b:1	(1) f6p + (1) PGI(free) => (1) PGI(conj)
rbh0008_a	ATP-dependent 6-phosphofructokinase	EC 2.7.1.11	"cpd00072:1,cpd00002:1,ebh0008_a:1"	ebh0008_b:1	(1) f6p + (1) atp + (1) PFKA(free) => (1) PFKA(conj)
rbh0008_b	ATP-dependent 6-phosphofructokinase	EC 2.7.1.11	ebh0008_b:1	"cpd00290:1,cpd00067:1,cpd00008:1,ebh0008_a:1"	(1) PFKA(conj) => (1) fdp + (1) h + (1) adp + (1) PFKA(free)
rbh0009_a	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	"cpd00012:1,cpd00072:1,ebh0009_a:1"	ebh0009_b:1	(1) ppi + (1) f6p + (1) PFP(free) => (1) PFP(conj)
rbh0009_b	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	ebh0009_b:1	"cpd00012:1,cpd00072:1,ebh0009_a:1"	(1) PFP(conj) => (1) ppi + (1) f6p + (1) PFP(free)
rbh0009_c	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	ebh0009_b:1	"cpd00009:1,cpd00290:1,cpd00067:1,ebh0009_a:1"	(1) PFP(conj) => (1) pi + (1) fdp + (1) h + (1) PFP(free)
rbh0009_d	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	"cpd00009:1,cpd00290:1,cpd00067:1,ebh0009_a:1"	ebh0009_b:1	(1) pi + (1) fdp + (1) h + (1) PFP(free) => (1) PFP(conj)
rbh0010_a	Fructose 1-phosphate kinase	EC 2.7.1.56	"cpd00002:1,cpd00802:1,ebh0010_a:1"	ebh0010_b:1	(1) atp + (1) f1p + (1) FRUK(free) => (1) FRUK(conj)
rbh0010_b	Fructose 1-phosphate kinase	EC 2.7.1.56	ebh0010_b:1	"cpd00008:1,cpd00290:1,ebh0010_a:1,cpd00067:1"	(1) FRUK(conj) => (1) adp + (1) fdp + (1) FRUK(free) + (1) h
rbh0011_a	Fructose-bisphosphate aldolase	EC 4.1.2.13	"cpd00290:1,ebh0011_a:1"	ebh0011_b:1	(1) fdp + (1) FBA(free) => (1) FBA(conj)
rbh0011_b	Fructose-bisphosphate aldolase	EC 4.1.2.13	ebh0011_b:1	"cpd00290:1,ebh0011_a:1"	(1) FBA(conj) => (1) fdp + (1) FBA(free)
rbh0011_c	Fructose-bisphosphate aldolase	EC 4.1.2.13	ebh0011_b:1	"cpd00095:1,cpd00102:1,ebh0011_a:1"	(1) FBA(conj) => (1) dhap + (1) g3p + (1) FBA(free)
rbh0011_d	Fructose-bisphosphate aldolase	EC 4.1.2.13	"cpd00095:1,cpd00102:1,ebh0011_a:1"	ebh0011_b:1	(1) dhap + (1) g3p + (1) FBA(free) => (1) FBA(conj)
rbh0012_a	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	"cpd00095:1,ebh0012_a:1"	ebh0012_b:1	(1) dhap + (1) TPIA(free) => (1) TPIA(conj)
rbh0012_b	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	ebh0012_b:1	"cpd00095:1,ebh0012_a:1"	(1) TPIA(conj) => (1) dhap + (1) TPIA(free)
rbh0012_c	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	ebh0012_b:1	"cpd00102:1,ebh0012_a:1"	(1) TPIA(conj) => (1) g3p + (1) TPIA(free)
rbh0012_d	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	"cpd00102:1,ebh0012_a:1"	ebh0012_b:1	(1) g3p + (1) TPIA(free) => (1) TPIA(conj)
rbh0013_a	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	"cpd00102:1,cpd00009:1,cpd00003:1,ebh0013_a:1"	ebh0013_b:1	(1) g3p + (1) pi + (1) nad + (1) GAP(free) => (1) GAP(conj)
rbh0013_b	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	ebh0013_b:1	"cpd00102:1,cpd00009:1,cpd00003:1,ebh0013_a:1"	(1) GAP(conj) => (1) g3p + (1) pi + (1) nad + (1) GAP(free)
rbh0013_c	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	ebh0013_b:1	"cpd00203:1,cpd00004:1,cpd00067:1,ebh0013_a:1"	(1) GAP(conj) => (1) 13dpg + (1) nadh + (1) h + (1) GAP(free)
rbh0013_d	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	"cpd00203:1,cpd00004:1,cpd00067:1,ebh0013_a:1"	ebh0013_b:1	(1) 13dpg + (1) nadh + (1) h + (1) GAP(free) => (1) GAP(conj)
rbh0014_a	phosphoglycerate kinase	EC 2.7.2.3 	"cpd00203:1,cpd00008:1,ebh0014_a:1"	ebh0014_b:1	(1) 13dpg + (1) adp + (1) PGK(free) => (1) PGK(conj)
rbh0014_b	phosphoglycerate kinase	EC 2.7.2.3 	ebh0014_b:1	"cpd00203:1,cpd00008:1,ebh0014_a:1"	(1) PGK(conj) => (1) 13dpg + (1) adp + (1) PGK(free)
rbh0014_c	phosphoglycerate kinase	EC 2.7.2.3 	ebh0014_b:1	"cpd00169:1,cpd00002:1,ebh0014_a:1"	(1) PGK(conj) => (1) 3pg + (1) atp + (1) PGK(free)
rbh0014_d	phosphoglycerate kinase	EC 2.7.2.3 	"cpd00169:1,cpd00002:1,ebh0014_a:1"	ebh0014_b:1	(1) 3pg + (1) atp + (1) PGK(free) => (1) PGK(conj)
rbh0015_a	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	"cpd00169:1,ebh0015_a:1"	ebh0015_b:1	(1) 3pg + (1) GPMM(free) => (1) GPMM(conj)
rbh0015_b	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	ebh0015_b:1	"cpd00169:1,ebh0015_a:1"	(1) GPMM(conj) => (1) 3pg + (1) GPMM(free)
rbh0015_c	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	ebh0015_b:1	"cpd00482:1,ebh0015_a:1"	(1) GPMM(conj) => (1) 2pg + (1) GPMM(free)
rbh0015_d	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	"cpd00482:1,ebh0015_a:1"	ebh0015_b:1	(1) 2pg + (1) GPMM(free) => (1) GPMM(conj)
rbh0016_a	Phosphopyruvate hydratase	EC 4.2.1.11 	"cpd00482:1,ebh0016_a:1"	ebh0016_b:1	(1) 2pg + (1) ENO(free) => (1) ENO(conj)
rbh0016_b	Phosphopyruvate hydratase	EC 4.2.1.11 	ebh0016_b:1	"cpd00482:1,ebh0016_a:1"	(1) ENO(conj) => (1) 2pg + (1) ENO(free)
rbh0016_c	Phosphopyruvate hydratase	EC 4.2.1.11 	ebh0016_b:1	"cpd00061:1,cpd00001:1,ebh0016_a:1"	(1) ENO(conj) => (1) pep + (1) h2o + (1) ENO(free)
rbh0016_d	Phosphopyruvate hydratase	EC 4.2.1.11 	"cpd00061:1,cpd00001:1,ebh0016_a:1"	ebh0016_b:1	(1) pep + (1) h2o + (1) ENO(free) => (1) ENO(conj)
rbh0017_a	pyruvate kinase I	EC 2.7.1.40 	"cpd00061:1,cpd00008:1,ebh0017_a:1"	ebh0017_b:1	(1) pep + (1) adp + (1) PYK(free) => (1) PYK(conj)
rbh0017_b	pyruvate kinase I	EC 2.7.1.40 	ebh0017_b:1	"cpd00002:1,cpd00020:1,ebh0017_a:1"	(1) PYK(conj) => (1) atp + (1) pyr + (1) PYK(free)
rbh0018_a	Lactate dehydrogenase	EC 1.3.1.110 	"cpd00020:1,cpd11621:2,cpd00004:2,ebh0018_a:1"	ebh0018_b:1	(1) pyr + (2) fdxox + (2) nadh + (1) LDH(free) => (1) LDH(conj)
rbh0018_b	Lactate dehydrogenase	EC 1.3.1.110 	ebh0018_b:1	"cpd00020:1,cpd11621:2,cpd00004:2,ebh0018_a:1"	(1) LDH(conj) => (1) pyr + (2) fdxox + (2) nadh + (1) LDH(free)
rbh0018_c	Lactate dehydrogenase	EC 1.3.1.110 	ebh0018_b:1	"cpd01022:1,cpd11620:2,cpd00003:2,ebh0018_a:1"	(1) LDH(conj) => (1) lac-R + (2) fdxrd + (2) nad + (1) LDH(free)
rbh0018_d	Lactate dehydrogenase	EC 1.3.1.110 	"cpd01022:1,cpd11620:2,cpd00003:2,ebh0018_a:1"	ebh0018_b:1	(1) lac-R + (2) fdxrd + (2) nad + (1) LDH(free) => (1) LDH(conj)
rbh0019_a	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC 1.2.7.1	"cpd00020:1,cpd00010:1,cpd11621:2,ebh0019_a:1"	ebh0019_b:1	(1) pyr + (1) coa + (2) fdxox + (1) POR(free) => (1) POR(conj)
rbh0019_b	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC 1.2.7.1	ebh0019_b:1	"cpd00020:1,cpd00010:1,cpd11621:2,ebh0019_a:1"	(1) POR(conj) => (1) pyr + (1) coa + (2) fdxox + (1) POR(free)
rbh0019_c	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC 1.2.7.1	ebh0019_b:1	"cpd00011:1,cpd00022:1,cpd11620:2,ebh0019_a:1"	(1) POR(conj) => (1) co2 + (1) accoa + (2) fdxrd + (1) POR(free)
rbh0019_d	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC 1.2.7.1	"cpd00011:1,cpd00022:1,cpd11620:2,ebh0019_a:1"	ebh0019_b:1	(1) co2 + (1) accoa + (2) fdxrd + (1) POR(free) => (1) POR(conj)
rbh0020_a	"ATP:pyruvate,phosphate phosphotransferase"	EC 2.7.9.1	"cpd00020:1,cpd00002:2,cpd00001:1,ebh0020_a:1"	ebh0020_b:1	(1) pyr + (2) atp + (1) h2o + (1) PPSA(free) => (1) PPSA(conj)
rbh0020_b	"ATP:pyruvate,phosphate phosphotransferase"	EC 2.7.9.1	ebh0020_b:1	"cpd00061:1,cpd00008:2,cpd00009:1,cpd00067:2,ebh0020_a:1"	(1) PPSA(conj) => (1) pep + (2) adp + (1) pi + (2) h + (1) PPSA(free)
rbh0021_a	Hydrogenase	EC 1.17.1.11 	"cpd11620:2,cpd00004:1,cpd00067:3,ebh0021_a:1"	ebh0021_b:1	(2) fdxrd + (1) nadh + (3) h + (1) HYD(free) => (1) HYD(conj)
rbh0021_b	Hydrogenase	EC 1.17.1.11 	ebh0021_b:1	"cpd11620:2,cpd00004:1,cpd00067:3,ebh0021_a:1"	(1) HYD(conj) => (2) fdxrd + (1) nadh + (3) h + (1) HYD(free)
rbh0021_c	Hydrogenase	EC 1.17.1.11 	ebh0021_b:1	"cpd11621:2,cpd00003:1,cpd11640:2,ebh0021_a:1"	(1) HYD(conj) => (2) fdxox + (1) nad + (2) h2 + (1) HYD(free)
rbh0021_d	Hydrogenase	EC 1.17.1.11 	"cpd00022:4,cpd00002:5,ebh0022_a:1"	ebh0021_b:1	(4) accoa + (5) atp + (1) BIOMASS(free) => (1) HYD(conj)
rbh0022_a	Biomass Production		"cpd00022:10,cpd00002:5,cpd00004:6,cpd00067:6,ebh0022_a:1"	ebh0022_b:1	(10) accoa + (5) atp + (6) nadh + (6) h + (1) BIOMASS(free) => (1) BIOMASS(conj)
rbh0022_b	Biomass Production		ebh0022_b:1	"cbh0003:1, cpd00010:10, cpd00008:5, ebh0022_a:1"	(1) BIOMASS(conj) => (1) biomass + (10) coa + (5) adp + (1) BIOMASS(free)
rbh0023_a	Formate dehydrogenase		"cpd00011:2,cpd11620:2,cpd00004:1,cpd00067:1,ebh0023_a:1"	ebh0023_b:1	(2) co2 + (2) fdxrd + (1) nadh + (1) h + (1) FDHF2(free) => (1) FDHF2(conj)
rbh0023_b	Formate dehydrogenase		ebh0023_b:1	"cpd00011:2,cpd11620:2,cpd00004:1,cpd00067:1,ebh0023_a:1"	(1) FDHF2(conj) => (2) co2 + (2) fdxrd + (1) nadh + (1) h + (1) FDHF2(free)
rbh0023_c	Formate dehydrogenase		ebh0023_b:1	"cpd00047:2,cpd11621:2,cpd00003:1,ebh0023_a:1"	(1) FDHF2(conj) => (2) for + (2) fdxox + (1) nad + (1) FDHF2(free)
rbh0023_d	Formate dehydrogenase		"cpd00047:2,cpd11621:2,cpd00003:1,ebh0023_a:1"	ebh0023_b:1	(2) for + (2) fdxox + (1) nad + (1) FDHF2(free) => (1) FDHF2(conj)
rbh0024_a	formate dehydrogenase (NADP+)	EC 1.17.1.10	"cpd00047:1,cpd00006:1,ebh0024_a:1"	ebh0024_b:1	(1) h2 + (1) co2 + (1) FDHA(free) => (1) FDHA(conj)
rbh0024_b	formate dehydrogenase (NADP+)	EC 1.17.1.10	ebh0024_b:1	"cpd00047:1,cpd00006:1,ebh0024_a:1"	(1) FDHA(conj) => (1) h2 + (1) co2 + (1) FDHA(free)
rbh0024_c	formate dehydrogenase (NADP+)	EC 1.17.1.10	ebh0024_b:1	"cpd00011:1,cpd00005:1,ebh0024_a:1"	(1) FDHA(conj) => (1) h + (1) for + (1) FDHA(free)
rbh0024_d	formate dehydrogenase (NADP+)	EC 1.17.1.10	"cpd00011:1,cpd00005:1,ebh0024_a:1"	ebh0024_b:1	(2) h + (1) nadp + (1) for + (1) FDHA(free) => (1) FDHA(conj)
rbh0025_a	formate--tetrahydrofolate ligase	EC 6.3.4.3	"cpd00087:1,cpd00002:1,cpd00047:1,ebh0025_a:1"	ebh0025_b:1	(1) thf + (1) atp + (1) for + (1) FHS(free) => (1) FHS(conj)
rbh0025_b	formate--tetrahydrofolate ligase	EC 6.3.4.3	ebh0025_b:1	"cpd00201:1,cpd00008:1,cpd00009:1,ebh0025_a:1"	(1) FHS(conj) => (1) 10fthf + (1) adp + (1) pi + (1) FHS(free)
rbh0026_a	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	EC 1.5.1.5 / EC 3.5.4.9	"cpd00201:1,cpd00067:1,cpd00005:1,ebh0026_a:1"	ebh0026_b:1	(1) 10fthf + (1) h + (1) nadph + (1) FOLD(free) => (1) FOLD(conj)
rbh0026_b	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	EC 1.5.1.5 / EC 3.5.4.9	ebh0026_b:1	"cpd00347:1,cpd00001:1,cpd00006:1,ebh0026_a:1"	(1) FOLD(conj) => (1) methf + (1) h2o + (1) nadp + (1) FOLD(free)
rbh0027_a	Methylenetetrahydrofolate reductase	EC 1.5.1.20	"cpd00347:1,cpd00004:1,cpd00067:1,ebh0027_a:1"	ebh0027_b:1	(1) methf + (1) nadh + (1) h + (1) METF(free) => (1) METF(conj)
rbh0027_b	Methylenetetrahydrofolate reductase	EC 1.5.1.20	ebh0027_b:1	"cpd00345:1,cpd00003:1,ebh0027_a:1"	(1) METF(conj) => (1) 5mthf + (1) nad + (1) METF(free)
rbh0028_a	5-methyltetrahydrofolate---corrinoid/iron-sulfur protein Co-methyltransferase	EC 2.1.1.258	"cpd00345:1,cpd12810:1,cpd00067:1,ebh0028_a:1"	ebh0028_b:1	(1) 5mthf + (1) Corrinoid + (1) h + (1) ACSE(free) => (1) ACSE(conj)
rbh0028_b	5-methyltetrahydrofolate---corrinoid/iron-sulfur protein Co-methyltransferase	EC 2.1.1.258	ebh0028_b:1	"cpd12809:1,cpd00087:1,ebh0028_a:1"	(1) ACSE(conj) => (1) Methylcorrinoid + (1) thf + (1) ACSE(free)
rbh0029_a	CODH/ACS complex		"cpd00011:1,cpd11620:2,cpd00067:1,cpd12809:1,cpd00010:1,ebh0029_a:1"	ebh0029_b:1	(1) co2 + (2) fdxrd + (1) h + (1) Methylcorrinoid + (1) coa + (1) CODH(free) => (1) CODH(conj)
rbh0029_b	CODH/ACS complex		ebh0029_b:1	"cpd11621:2,cpd00001:1,cpd12810:1,cpd00022:1,ebh0029_a:1"	(1) CODH(conj) => (2) fdxox + (1) h2o + (1) Corrinoid + (1) accoa + (1) CODH(free)
rbh0030_a	Phosphate acetyltransferase	EC 2.3.1.8	"cpd00022:1,cpd00009:1,ebh0030_a:1"	ebh0030_b:1	(1) accoa + (1) pi + (1) PTA(free) => (1) PTA(conj)
rbh0030_b	Phosphate acetyltransferase	EC 2.3.1.8	ebh0030_b:1	"cpd00010:1,cpd00196:1,ebh0030_a:1"	(1) PTA(conj) => (1) coa + (1) actp + (1) PTA(free)
rbh0031_a	Acetate kinase	EC 2.7.2.1	"cpd00196:1,cpd00008:1,ebh0031_a:1"	ebh0031_b:1	(1) actp + (1) adp + (1) ACKA(free) => (1) ACKA(conj)
rbh0031_b	Acetate kinase	EC 2.7.2.1	ebh0031_b:1	"cpd00029:1,cpd00002:1,ebh0031_a:1"	(1) ACKA(conj) => (1) ac + (1) atp + (1) ACKA(free)
rbh0032_a	Na/H+ - translocating ferredoxin: NAD+ oxidoreductase complex		"cpd11620:2,cpd00003:1,cpd00067:3,ebh0032_a:1"	ebh0032_b:1	(2) fdxrd + (1) nad + (3) h + (1) RNF(free) => (1) RNF(conj)
rbh0032_b	Na/H+ - translocating ferredoxin: NAD+ oxidoreductase complex		ebh0032_b:1	"cpd11620:2,cpd00003:1,cpd00067:3,ebh0032_a:1"	(1) RNF(conj) => (2) fdxrd + (1) nad + (3) h + (1) RNF(free)
rbh0032_c	Na/H+ - translocating ferredoxin: NAD+ oxidoreductase complex		ebh0032_b:1	"cpd11621:2,cpd00004:1,cpd00067_e:2,ebh0032_a:1"	(1) RNF(conj) => (2) fdxox + (1) nadh + (2) h_e + (1) RNF(free)
rbh0032_d	Na/H+ - translocating ferredoxin: NAD+ oxidoreductase complex		"cpd11621:2,cpd00004:1,cpd00067_e:2,ebh0032_a:1"	ebh0032_b:1	(2) fdxox + (1) nadh + (2) h_e + (1) RNF(free) => (1) RNF(conj)
rbh0033_a	NA+/H+ dependent ATP synthase		"cpd00008:1,cpd00067_e:5,cpd00009:1,ebh0033_a:1"	ebh0033_b:1	(1) adp + (5) h_e + (1) pi + (1) ATPF(free) => (1) ATPF(conj)
rbh0033_b	NA+/H+ dependent ATP synthase		ebh0033_b:1	"cpd00008:1,cpd00067_e:5,cpd00009:1,ebh0033_a:1"	(1) ATPF(conj) => (1) adp + (5) h_e + (1) pi + (1) ATPF(free)
rbh0033_c	NA+/H+ dependent ATP synthase		ebh0033_b:1	"cpd00002:1,cpd00067:4,cpd00001:1,ebh0033_a:1"	(1) ATPF(conj) => (1) atp + (4) h + (1) h2o + (1) ATPF(free)
rbh0033_d	NA+/H+ dependent ATP synthase		"cpd00002:1,cpd00067:4,cpd00001:1,ebh0033_a:1"	ebh0033_b:1	(1) atp + (4) h + (1) h2o + (1) ATPF(free) => (1) ATPF(conj)
rbh0034_a	CO2 exchange		"cpd00011:1,ebh0034_a:1"	ebh0034_b:1	(1) h2 + (1) H2EX(free) => (1) H2EX(conj)
rbh0034_b	CO2 exchange		ebh0034_b:1	"cpd00011:1,ebh0034_a:1"	(1) H2EX(conj) => (1) h2 + (1) H2EX(free)
rbh0034_c	CO2 exchange		ebh0034_b:1	"cpd00011_e:1,ebh0034_a:1"	(1) H2EX(conj) => (1) h2_e + (1) H2EX(free)
rbh0034_d	CO2 exchange		"cpd00011_e:1,ebh0034_a:1"	ebh0034_b:1	(1) h2_e + (1) H2EX(free) => (1) H2EX(conj)
rbh0034_a	H2 exchange		"cpd11640:1,ebh0035_a:1"	ebh0035_b:1	(1) h2 + (1) H2EX(free) => (1) H2EX(conj)
rbh0034_b	H2 exchange		ebh0035_b:1	"cpd11640:1,ebh0035_a:1"	(1) H2EX(conj) => (1) h2 + (1) H2EX(free)
rbh0034_c	H2 exchange		ebh0035_b:1	"cpd11640_e:1,ebh0035_a:1"	(1) H2EX(conj) => (1) h2_e + (1) H2EX(free)
rbh0034_d	H2 exchange		"cpd11640_e:1,ebh0035_a:1"	ebh0035_b:1	(1) h2_e + (1) H2EX(free) => (1) H2EX(conj)
rbh0035_a	nitrite reductase (NADH)	EC 1.7.1.15	"cpd00075:1,cpd00004:3,cpd00067:5,ebh0036_a:1"	ebh0036_b:1	(1) no2 + (3) nadh + (5) h + (1) NIRB(free) => (1) NIRB(conj)
rbh0035_b	nitrite reductase (NADH)	EC 1.7.1.15	ebh0036_b:1	"cpd00001:2,cpd00003:3,cpd00013:1,ebh0036_a:1"	(1) NIRB(conj) => (2) h2o + (3) nad + (1) nh4 + (1) NIRB(free)
rbh0036_a	hydrogenase(NADP+)		"cpd11640:1,cpd00006:1,ebh0037_a:1"	ebh0037_b:1	(1) h2 + (1) nadp + (1) HYD(NADP)(free) => (1) HYD(NADP)(conj)
rbh0036_b	hydrogenase(NADP+)		ebh0037_b:1	"cpd00067:1,cpd00005:1,ebh0037_a:1"	(1) HYD(NADP)(conj) => (1) h + (1) nadph + (1) HYD(NADP)(free)
rbh0024_a	formate dehydrogenase (NADP+)	EC 1.17.1.10	"cpd11640:1,cpd00011:1,ebh0024_a:1"	ebh0024_b:1	(1) h2 + (1) co2 + (1) FDHA(free) => (1) FDHA(conj)
rbh0024_b	formate dehydrogenase (NADP+)	EC 1.17.1.10	ebh0024_b:1	"cpd11640:1,cpd00011:1,ebh0024_a:1"	(1) FDHA(conj) => (1) h2 + (1) co2 + (1) FDHA(free)
rbh0024_c	formate dehydrogenase (NADP+)	EC 1.17.1.10	ebh0024_b:1	"cpd00067:1,cpd00047:1,ebh0024_a:1"	(1) FDHA(conj) => (1) h + (1) for + (1) FDHA(free)
rbh0024_d	formate dehydrogenase (NADP+)	EC 1.17.1.10	"cpd00067:2,cpd00006:1,cpd00047:1,ebh0024_a:1"	ebh0024_b:1	(2) h + (1) nadp + (1) for + (1) FDHA(free) => (1) FDHA(conj)
